   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
7.4989e+09,9.9963e-01,2.6302e-04
8.9125e+09,9.9966e-01,2.4095e-04
1.0593e+10,9.9969e-01,2.2087e-04
1.2589e+10,9.9971e-01,2.0261e-04
1.4962e+10,9.9973e-01,1.8600e-04
1.7783e+10,9.9975e-01,1.7088e-04
2.1135e+10,9.9977e-01,1.5712e-04
2.5119e+10,9.9979e-01,1.4459e-04
2.9854e+10,9.9980e-01,1.3317e-04
3.5481e+10,9.9982e-01,1.2275e-04
4.2170e+10,9.9983e-01,1.1325e-04
5.0119e+10,9.9984e-01,1.0457e-04
5.9566e+10,9.9985e-01,9.6643e-05
7.0795e+10,9.9986e-01,8.9388e-05
8.4140e+10,9.9987e-01,8.2746e-05
1.0000e+11,9.9988e-01,7.6659e-05
