   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
3.7154e-01,1.1826e-01,1.2525e-01
3.8459e-01,1.2156e-01,1.2642e-01
3.9811e-01,1.2490e-01,1.2755e-01
4.1210e-01,1.2828e-01,1.2865e-01
4.2658e-01,1.3169e-01,1.2970e-01
4.4157e-01,1.3513e-01,1.3072e-01
4.5709e-01,1.3860e-01,1.3170e-01
4.7315e-01,1.4210e-01,1.3265e-01
4.8978e-01,1.4563e-01,1.3355e-01
5.0699e-01,1.4918e-01,1.3441e-01
5.2481e-01,1.5275e-01,1.3523e-01
5.4325e-01,1.5635e-01,1.3601e-01
5.6234e-01,1.5997e-01,1.3675e-01
5.8210e-01,1.6360e-01,1.3745e-01
6.0256e-01,1.6725e-01,1.3811e-01
6.2373e-01,1.7092e-01,1.3873e-01
6.4565e-01,1.7460e-01,1.3931e-01
6.6834e-01,1.7829e-01,1.3985e-01
6.9183e-01,1.8199e-01,1.4035e-01
7.1614e-01,1.8570e-01,1.4081e-01
7.4131e-01,1.8942e-01,1.4123e-01
7.6736e-01,1.9315e-01,1.4162e-01
7.9433e-01,1.9687e-01,1.4196e-01
8.2224e-01,2.0061e-01,1.4228e-01
8.5114e-01,2.0434e-01,1.4255e-01
8.8105e-01,2.0807e-01,1.4279e-01
9.1201e-01,2.1181e-01,1.4300e-01
9.4406e-01,2.1554e-01,1.4317e-01
9.7724e-01,2.1927e-01,1.4331e-01
1.0116e+00,2.2299e-01,1.4341e-01
1.0471e+00,2.2671e-01,1.4348e-01
1.0839e+00,2.3042e-01,1.4353e-01
1.1220e+00,2.3413e-01,1.4354e-01
1.1614e+00,2.3783e-01,1.4352e-01
1.2023e+00,2.4152e-01,1.4348e-01
1.2445e+00,2.4520e-01,1.4341e-01
1.2882e+00,2.4887e-01,1.4331e-01
1.3335e+00,2.5253e-01,1.4319e-01
1.3804e+00,2.5618e-01,1.4304e-01
1.4289e+00,2.5982e-01,1.4286e-01
1.4791e+00,2.6344e-01,1.4267e-01
1.5311e+00,2.6705e-01,1.4245e-01
1.5849e+00,2.7065e-01,1.4221e-01
1.6406e+00,2.7423e-01,1.4194e-01
1.6982e+00,2.7780e-01,1.4166e-01
1.7579e+00,2.8135e-01,1.4136e-01
1.8197e+00,2.8489e-01,1.4104e-01
1.8836e+00,2.8842e-01,1.4071e-01
1.9498e+00,2.9192e-01,1.4035e-01
2.0184e+00,2.9542e-01,1.3998e-01
2.0893e+00,2.9889e-01,1.3960e-01
2.1627e+00,3.0235e-01,1.3920e-01
2.2387e+00,3.0579e-01,1.3879e-01
2.3174e+00,3.0922e-01,1.3836e-01
2.3988e+00,3.1262e-01,1.3792e-01
2.4831e+00,3.1602e-01,1.3747e-01
2.5704e+00,3.1939e-01,1.3700e-01
2.6607e+00,3.2275e-01,1.3653e-01
2.7542e+00,3.2608e-01,1.3604e-01
2.8510e+00,3.2941e-01,1.3555e-01
2.9512e+00,3.3271e-01,1.3505e-01
3.0549e+00,3.3600e-01,1.3453e-01
3.1623e+00,3.3926e-01,1.3401e-01
3.2734e+00,3.4252e-01,1.3348e-01
3.3884e+00,3.4575e-01,1.3295e-01
3.5075e+00,3.4897e-01,1.3241e-01
3.6308e+00,3.5216e-01,1.3186e-01
3.7584e+00,3.5534e-01,1.3130e-01
3.8905e+00,3.5851e-01,1.3074e-01
4.0272e+00,3.6165e-01,1.3018e-01
4.1687e+00,3.6478e-01,1.2961e-01
4.3152e+00,3.6789e-01,1.2903e-01
4.4668e+00,3.7099e-01,1.2845e-01
4.6238e+00,3.7406e-01,1.2787e-01
4.7863e+00,3.7712e-01,1.2729e-01
4.9545e+00,3.8017e-01,1.2670e-01
5.1286e+00,3.8319e-01,1.2611e-01
5.3088e+00,3.8620e-01,1.2551e-01
5.4954e+00,3.8919e-01,1.2491e-01
5.6885e+00,3.9217e-01,1.2432e-01
5.8884e+00,3.9513e-01,1.2371e-01
6.0954e+00,3.9807e-01,1.2311e-01
6.3096e+00,4.0099e-01,1.2251e-01
6.5313e+00,4.0390e-01,1.2190e-01
6.7608e+00,4.0679e-01,1.2130e-01
6.9984e+00,4.0967e-01,1.2069e-01
7.2444e+00,4.1253e-01,1.2008e-01
7.4989e+00,4.1537e-01,1.1948e-01
7.7625e+00,4.1820e-01,1.1887e-01
8.0353e+00,4.2101e-01,1.1826e-01
8.3176e+00,4.2381e-01,1.1765e-01
8.6099e+00,4.2659e-01,1.1705e-01
8.9125e+00,4.2935e-01,1.1644e-01
9.2257e+00,4.3210e-01,1.1583e-01
9.5499e+00,4.3483e-01,1.1523e-01
9.8855e+00,4.3755e-01,1.1462e-01
1.0233e+01,4.4025e-01,1.1402e-01
1.0593e+01,4.4294e-01,1.1341e-01
1.0965e+01,4.4561e-01,1.1281e-01
1.1350e+01,4.4827e-01,1.1221e-01
1.1749e+01,4.5091e-01,1.1161e-01
1.2162e+01,4.5353e-01,1.1101e-01
1.2589e+01,4.5615e-01,1.1041e-01
1.3032e+01,4.5874e-01,1.0982e-01
1.3490e+01,4.6133e-01,1.0922e-01
1.3964e+01,4.6389e-01,1.0863e-01
1.4454e+01,4.6645e-01,1.0804e-01
1.4962e+01,4.6898e-01,1.0745e-01
1.5488e+01,4.7151e-01,1.0687e-01
1.6032e+01,4.7402e-01,1.0628e-01
1.6596e+01,4.7651e-01,1.0570e-01
1.7179e+01,4.7899e-01,1.0512e-01
1.7783e+01,4.8146e-01,1.0454e-01
1.8408e+01,4.8391e-01,1.0396e-01
1.9055e+01,4.8635e-01,1.0339e-01
1.9724e+01,4.8877e-01,1.0282e-01
2.0417e+01,4.9118e-01,1.0225e-01
2.1135e+01,4.9358e-01,1.0168e-01
2.1878e+01,4.9596e-01,1.0111e-01
2.2646e+01,4.9833e-01,1.0055e-01
2.3442e+01,5.0069e-01,9.9990e-02
2.4266e+01,5.0303e-01,9.9432e-02
2.5119e+01,5.0536e-01,9.8877e-02
2.6002e+01,5.0768e-01,9.8324e-02
2.6915e+01,5.0998e-01,9.7774e-02
2.7861e+01,5.1227e-01,9.7227e-02
2.8840e+01,5.1454e-01,9.6682e-02
2.9854e+01,5.1680e-01,9.6140e-02
3.0903e+01,5.1905e-01,9.5601e-02
3.1989e+01,5.2129e-01,9.5065e-02
3.3113e+01,5.2351e-01,9.4531e-02
3.4277e+01,5.2572e-01,9.4000e-02
3.5481e+01,5.2792e-01,9.3472e-02
3.6728e+01,5.3011e-01,9.2947e-02
3.8019e+01,5.3228e-01,9.2424e-02
3.9355e+01,5.3444e-01,9.1905e-02
4.0738e+01,5.3658e-01,9.1389e-02
4.2170e+01,5.3872e-01,9.0875e-02
4.3652e+01,5.4084e-01,9.0364e-02
4.5186e+01,5.4295e-01,8.9857e-02
4.6774e+01,5.4505e-01,8.9352e-02
4.8417e+01,5.4713e-01,8.8851e-02
5.0119e+01,5.4921e-01,8.8352e-02
5.1880e+01,5.5127e-01,8.7856e-02
5.3703e+01,5.5332e-01,8.7364e-02
5.5590e+01,5.5535e-01,8.6875e-02
5.7544e+01,5.5738e-01,8.6388e-02
5.9566e+01,5.5939e-01,8.5905e-02
6.1660e+01,5.6139e-01,8.5425e-02
6.3826e+01,5.6338e-01,8.4948e-02
6.6069e+01,5.6536e-01,8.4474e-02
6.8391e+01,5.6733e-01,8.4004e-02
7.0795e+01,5.6929e-01,8.3536e-02
7.3282e+01,5.7123e-01,8.3072e-02
7.5858e+01,5.7316e-01,8.2611e-02
7.8524e+01,5.7509e-01,8.2153e-02
8.1283e+01,5.7700e-01,8.1698e-02
8.4140e+01,5.7890e-01,8.1247e-02
8.7096e+01,5.8078e-01,8.0798e-02
9.0157e+01,5.8266e-01,8.0353e-02
9.3325e+01,5.8453e-01,7.9911e-02
9.6605e+01,5.8639e-01,7.9473e-02
1.0000e+02,5.8823e-01,7.9037e-02
1.0351e+02,5.9007e-01,7.8605e-02
1.0715e+02,5.9189e-01,7.8176e-02
1.1092e+02,5.9370e-01,7.7751e-02
1.1482e+02,5.9551e-01,7.7328e-02
1.1885e+02,5.9730e-01,7.6909e-02
1.2303e+02,5.9908e-01,7.6493e-02
1.2735e+02,6.0086e-01,7.6081e-02
1.3183e+02,6.0262e-01,7.5672e-02
1.3646e+02,6.0437e-01,7.5266e-02
1.4125e+02,6.0611e-01,7.4863e-02
1.4622e+02,6.0785e-01,7.4463e-02
1.5136e+02,6.0957e-01,7.4067e-02
1.5668e+02,6.1128e-01,7.3674e-02
1.6218e+02,6.1299e-01,7.3284e-02
1.6788e+02,6.1468e-01,7.2898e-02
1.7378e+02,6.1637e-01,7.2515e-02
1.7989e+02,6.1804e-01,7.2135e-02
1.8621e+02,6.1971e-01,7.1758e-02
1.9275e+02,6.2137e-01,7.1385e-02
1.9953e+02,6.2301e-01,7.1015e-02
2.0654e+02,6.2465e-01,7.0648e-02
2.1380e+02,6.2628e-01,7.0284e-02
2.2131e+02,6.2790e-01,6.9924e-02
2.2909e+02,6.2951e-01,6.9567e-02
2.3714e+02,6.3112e-01,6.9213e-02
2.4547e+02,6.3271e-01,6.8862e-02
2.5410e+02,6.3430e-01,6.8515e-02
2.6303e+02,6.3588e-01,6.8170e-02
2.7227e+02,6.3744e-01,6.7829e-02
2.8184e+02,6.3901e-01,6.7491e-02
2.9174e+02,6.4056e-01,6.7156e-02
3.0200e+02,6.4210e-01,6.6825e-02
3.1261e+02,6.4364e-01,6.6496e-02
3.2359e+02,6.4517e-01,6.6171e-02
3.3497e+02,6.4669e-01,6.5849e-02
3.4674e+02,6.4820e-01,6.5530e-02
3.5892e+02,6.4970e-01,6.5214e-02
3.7154e+02,6.5120e-01,6.4901e-02
3.8459e+02,6.5269e-01,6.4591e-02
3.9811e+02,6.5417e-01,6.4285e-02
4.1210e+02,6.5564e-01,6.3981e-02
4.2658e+02,6.5711e-01,6.3681e-02
4.4157e+02,6.5857e-01,6.3383e-02
4.5709e+02,6.6002e-01,6.3089e-02
4.7315e+02,6.6146e-01,6.2797e-02
4.8978e+02,6.6290e-01,6.2509e-02
5.0699e+02,6.6433e-01,6.2223e-02
5.2481e+02,6.6575e-01,6.1941e-02
5.4325e+02,6.6717e-01,6.1661e-02
5.6234e+02,6.6858e-01,6.1384e-02
5.8210e+02,6.6998e-01,6.1110e-02
6.0256e+02,6.7137e-01,6.0840e-02
6.2373e+02,6.7276e-01,6.0572e-02
6.4565e+02,6.7415e-01,6.0306e-02
6.6834e+02,6.7552e-01,6.0044e-02
6.9183e+02,6.7689e-01,5.9785e-02
7.1614e+02,6.7825e-01,5.9528e-02
7.4131e+02,6.7961e-01,5.9274e-02
7.6736e+02,6.8096e-01,5.9023e-02
7.9433e+02,6.8231e-01,5.8775e-02
8.2224e+02,6.8364e-01,5.8529e-02
8.5114e+02,6.8498e-01,5.8286e-02
8.8105e+02,6.8630e-01,5.8046e-02
9.1201e+02,6.8762e-01,5.7808e-02
9.4406e+02,6.8894e-01,5.7573e-02
9.7724e+02,6.9025e-01,5.7341e-02
1.0116e+03,6.9155e-01,5.7111e-02
1.0471e+03,6.9285e-01,5.6884e-02
1.0839e+03,6.9414e-01,5.6660e-02
1.1220e+03,6.9543e-01,5.6438e-02
1.1614e+03,6.9671e-01,5.6218e-02
1.2023e+03,6.9798e-01,5.6001e-02
1.2445e+03,6.9925e-01,5.5787e-02
1.2882e+03,7.0052e-01,5.5575e-02
1.3335e+03,7.0178e-01,5.5365e-02
1.3804e+03,7.0303e-01,5.5158e-02
1.4289e+03,7.0428e-01,5.4953e-02
1.4791e+03,7.0553e-01,5.4751e-02
1.5311e+03,7.0677e-01,5.4551e-02
1.5849e+03,7.0800e-01,5.4353e-02
1.6406e+03,7.0923e-01,5.4158e-02
1.6982e+03,7.1046e-01,5.3964e-02
1.7579e+03,7.1168e-01,5.3773e-02
1.8197e+03,7.1290e-01,5.3585e-02
